Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Season
1,1,BluePine Industries,Frozen Momos,75,0,18%,N,Y,N,Y,N,Y,N,1
1,2,Booz scooters,Renting e-bike for mobility in private spaces,40,0,50%,N,Y,N,N,N,Y,N,1
1,3,Heart up my Sleeves,Detachable Sleeves,25,0,30%,Y,N,N,N,N,Y,N,1
2,4,Tagz Foods,Healthy Potato Chips,70,0,2.75%,N,Y,N,N,N,N,N,1
2,5,Head and Heart,Brain Development Course,0,0,0,N,N,N,N,N,N,N,1
2,6,Agro tourism,Tourism,0,0,0,N,N,N,N,N,N,N,1
3,7,Qzense Labs,Food Freshness Detector,0,0,0,N,N,N,N,N,N,N,1
3,8,Peeschute,Disposable Urine Bag,75,0,6%,N,N,N,Y,N,N,N,1
3,9,NOCD,Energy Drink,20,30,15%,N,N,N,N,N,Y,N,1
4,10,Cosiq,Intelligent Skincare,50,0,25%,Y,N,N,N,N,Y,N,1
4,11,JhaJi Achaar,Pickle,0,0,0,N,N,N,N,N,N,N,1
4,12,Bummer,Underwear,75,0,7.50%,N,N,Y,Y,N,N,N,1
5,13,Revamp Moto,E-Bike,10,0,1.50%,Y,N,N,Y,N,N,N,1
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,0,0,N,N,N,N,N,N,N,1
5,15,Shrawani Engineers,Belly Button Shaper,0,0,0,N,N,N,N,N,N,N,1
6,16,Skippi Pops,Ice-Pops,10,0,15%,Y,Y,Y,Y,N,Y,N,1
6,17,Menstrupedia,Menstrual Awareness Comic,50,0,20%,N,N,Y,N,N,N,N,1
6,18,Hecolll,Pollution Resistant Fabric,0,0,0,N,N,N,N,N,N,N,1
7,19,Raising Superstars,Child Development App,10,0,4%,N,Y,N,Y,N,N,N,1
7,20,Torch-it,Gadgets for visually impaired people,0,0,0,N,N,N,N,N,N,N,1
7,21,La Kheer Deli,Kheer in variety of flavors,0,0,0,N,N,N,N,N,N,N,1
8,22,Beyond Snack,Kerala Banana Chips,50,0,2.50%,N,Y,N,Y,N,N,N,1
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,56,0,33.30%,Y,N,N,N,Y,N,N,1
8,24,Motion Breeze,Smart Electric Motorcycle,30,0,6%,N,Y,N,N,N,N,N,1
9,25,Altor,Smart Helmets,50,0,7%,N,N,Y,Y,N,N,N,1
9,26,Ariro,Wooden Toys,50,0,10%,N,N,N,Y,Y,N,N,1
9,27,Kabira Handmade,Healthy Oils,0,0,0,N,N,N,N,N,N,N,1
10,28,Nuutjob,Male Intimate Hygiene,25,0,20%,N,N,Y,Y,Y,N,N,1
10,29,Meatyour,Eggs,30,0,20%,Y,N,N,Y,Y,N,N,1
10,30,EventBeep,Student Community App,30,0,3%,N,Y,N,Y,Y,N,N,1
11,31,Gopal's 56,Fiber Ice Cream,0,0,0,N,N,N,N,N,N,N,1
11,32,ARRCOAT Surface Textures,Wall Building,50,0,15%,Y,N,N,N,N,N,N,1
11,33,Farda,Customised Streetwear,30,0,20%,N,N,Y,Y,N,N,N,1
12,34,Auli Lifestyle,Ayurvedic Products,75,0,5%,N,N,Y,N,N,N,N,1
12,35,SweeDesi,Indian Sweets,0,0,0,N,N,N,N,N,N,N,1
12,36,LOKA,Metaverse App,40,0,24%,Y,N,N,Y,Y,N,N,1
